Id,Hazard
6,10.049539566
7,17.0202789307
8,29.806268692
9,12.1864080429
10,8.18632698059
11,11.7927331924
13,15.428612709
14,11.5479421616
16,9.91295146942
17,8.89943027496
18,17.1903305054
20,10.4978885651
27,25.8850402832
28,15.9337921143
29,9.44047737122
30,10.198759079
34,11.7258272171
35,13.9519109726
36,12.7945680618
37,11.2474250793
38,10.8097438812
40,9.37843894958
42,14.4399814606
46,12.2653427124
47,14.2753400803
48,15.8911314011
49,24.8016681671
51,17.769071579
52,17.2584590912
53,6.03313207626
54,9.64107704163
55,8.22047328949
56,19.226896286
57,8.9475030899
60,19.5077476501
61,6.40772867203
64,20.2258892059
65,14.0510101318
66,17.1078891754
68,22.1000347137
70,10.2065057755
71,7.79830121994
75,6.68202781677
76,12.9949684143
78,23.2158145905
80,8.74026679993
81,19.2961120605
82,15.4051885605
83,12.850112915
85,7.37650871277
86,8.82071876526
87,10.393705368
89,12.066617012
90,14.1887273788
91,12.9520702362
92,12.4923257828
95,10.5579195023
97,16.9396514893
99,11.7433815002
101,13.8194074631
102,13.5560369492
103,11.021188736
104,13.6163749695
107,18.2043933868
108,11.3897848129
111,8.68502807617
112,20.3809947968
115,17.6929779053
119,9.44053173065
121,13.1399717331
124,9.9324016571
128,18.6530056
130,18.9340591431
131,18.6869277954
133,20.7143707275
134,13.9970264435
137,12.5270252228
138,13.3075714111
142,20.335483551
143,16.5701293945
144,30.769235611
145,19.4624977112
147,11.1173467636
148,18.0279560089
152,7.7054772377
154,54.699382782
158,8.31478977203
159,11.7134122849
160,17.0550022125
161,16.993888855
164,5.38963365555
165,9.53680324554
166,8.72390174866
167,9.81149673462
169,13.1894283295
170,18.0283355713
171,17.1171207428
175,6.86129140854
177,14.989821434
178,20.4802646637
180,29.0569057465
182,13.0965566635
184,15.1817731857
185,18.8517971039
186,10.3560972214
190,12.9443092346
191,12.1909008026
192,7.56621408463
195,21.9663352966
196,16.00340271
197,10.0031757355
198,11.2325620651
199,23.7115020752
200,12.5972337723
204,9.92438697815
205,13.9745397568
207,6.32052898407
208,9.42466831207
